bot_id,name,race,elo,active,bot_data_enabled
836,muravevTerran,T,1477,True,False
1054,JimmyBotZ,Z,1724,True,False
374,SwarmLord,Z,1600,False,True
1008,Creepy_canon,P,1587,True,False
959,ur_moms_a_ho,Z,1600,False,False
347,PhantomTest,Z,1600,False,True
1086,CherBoiBlue,R,1500,False,False
1089,WorkingAsIntended,R,1596,True,True
1058,JimmyBotP,P,1711,True,False
1088,SwarmLord3,R,1562,False,True
1087,SwarmLord2,R,1533,False,True
1082,Dasyatis,P,1573,True,False
827,smokinggunbot,T,1579,True,True
1085,AgoraLord,R,1430,True,False
943,puck,P,1529,True,False
1059,NextProBot,Z,1600,False,True
721,49Terrapins,P,1430,True,False
1080,JimmyBot,R,1675,True,False
962,AvocaDEV,T,1700,False,True
1067,Hello_world,Z,1600,False,True
526,Apidae,P,1635,True,True
720,PiG_Bot,P,1627,True,True
1084,ZippyZap,R,1457,False,True
1066,CompetitiveBotTest,T,1482,False,False
1007,SharkGull,Z,1605,True,False
510,PhantomBot,Z,1817,True,True
1049,TheCatSC2Bot,P,970,True,True
201,QueenBot,Z,1614,True,False
961,AvocaDOS,T,1751,True,True
1056,bilisaur,Z,1600,False,False
1029,Chomppet,T,1600,False,False
1065,MindMatrix,Z,1514,True,True
970,TheLAW,T,1576,True,True
167,TyrT,T,1873,True,True
960,BigDaddy,T,1637,True,True
49,MicroMachine,T,1950,True,True
1030,who,R,1924,True,True
797,WickedBot,T,1707,True,False
1078,LoremIpsum,Z,1242,True,True
517,VeTerran-revived,T,1869,True,True
1079,JimmyBotT,T,1675,True,False
338,smallBly,Z,1834,True,True
1060,WildFire,Z,1709,True,True
1081,ArtZerg,Z,1537,True,True
496,Zozo,P,2089,True,True
518,norman,P,1674,True,False
1038,PolyMorph,Z,1463,True,False
40,SharpenedEdge,P,1872,True,True
262,whalemean,R,1797,True,True
759,BotTato,T,1710,True,False
730,Deimos,P,2155,True,True
168,sharkbot,P,1845,True,True
1042,Creepy_duo_canon,P,1386,True,False
971,Nothing,P,1570,True,True
876,GenesisLotus,P,1411,True,True
998,LordSuperKing,P,1656,True,False
1023,MY_SCRIPTING_SON,Z,1275,True,False
340,MechaShark,T,1695,True,True
901,clone,T,1667,True,True
953,ZeratulsRevengeTest,P,1702,True,False
708,Princess-Mika,Z,1521,True,True
112,Tyckles,P,1427,True,True
809,PrimordialOrigin,P,1258,True,False
341,gotest,Z,1328,True,False
275,Lissy,Z,1569,True,False
1057,DoopyBot-Test,Z,1238,True,False
357,12PoolBot,Z,1765,True,True
605,nida,P,1693,True,False
1045,tito,Z,1801,True,True
981,KoB,Z,1499,True,True
732,GPT,T,1830,True,True
223,DominionDog,T,1890,True,True
779,oberon,T,1472,True,False
940,Princess-Mika-Test,Z,1524,True,False
858,Crawler,Z,1562,True,True
516,27turtles,T,1526,True,False
1052,Starlight,P,1204,True,True
446,Xena,R,1937,True,True
948,titania,Z,1185,False,False
1050,onlyfans,T,1517,True,False
637,72Tortoises,Z,1697,True,False
729,Alexa,T,1367,True,False
248,Eris,Z,2221,True,True
1032,WaterLeak,Z,1607,False,True
709,Laser-Circus,P,1211,False,False
117,Chance,R,1384,True,True
346,Sharkling,Z,1761,True,True
930,SiriusBot,R,1519,True,True
966,ArgoBot,P,1909,True,True
51,Krillin,Z,1600,False,True
813,MewCombatMicro,R,1511,False,False
832,muravev,Z,1632,True,False
115,BenBotBC,T,2043,True,True
718,Mulebot,T,1689,True,True
939,RustyNikolaj,T,1539,True,False
1044,DoopyBot,Z,1418,True,False
1026,WildLupo,P,1199,True,True
977,Siriusly,R,1392,True,False
699,Clicadinha,Z,1635,True,False
352,Belzebuth,Z,1134,True,True
