match_id,time_start,time_end,bot_a,bot_b,outcome_a,duration_minutes,category,elo_diff
8,0.0,7.06,809,341,0.0,7.06,normal,0.0
11,0.0,7.79,517,1054,1.0,7.79,normal,0.0
3,0.0,8.99,1080,637,1.0,8.99,normal,0.0
7,0.0,9.05,605,167,0.0,9.05,normal,0.0
6,0.0,9.33,732,876,1.0,9.33,normal,0.0
4,0.0,9.67,1008,809,0.5,9.67,normal,0.0
1,0.0,9.78,262,49,0.0,9.78,normal,0.0
9,0.0,9.9,1054,836,0.5,9.9,normal,0.0
2,0.0,10.62,510,1050,1.0,10.62,normal,0.0
5,0.0,11.74,943,759,0.0,11.74,normal,0.0
0,0.0,12.88,1085,1052,0.0,12.88,normal,0.0
10,0.0,13.97,168,729,1.0,13.97,normal,0.0
14,8.99,16.22,809,526,0.0,7.23,normal,8.0
20,10.62,17.25,338,510,1.0,6.63,normal,8.0
19,9.9,17.39,1079,1081,1.0,7.49,normal,0.0
15,9.05,17.57,1030,718,1.0,8.52,normal,0.0
12,7.06,19.6,1050,699,1.0,12.54,normal,0.0
21,11.74,21.71,275,1023,1.0,9.97,normal,0.0
22,12.88,23.84,1007,961,1.0,10.96,normal,0.0
16,9.33,24.14,730,943,1.0,14.81,normal,0.0
23,13.97,24.23,876,275,0.0,10.26,normal,8.0
18,9.78,24.66,1085,1050,1.0,14.88,normal,0.0
17,9.67,25.74,1044,1054,0.0,16.07,abnormal,8.0
13,7.79,26.02,759,1026,1.0,18.23,normal,0.0
26,17.39,26.87,759,446,0.0,9.48,normal,8.0
24,16.22,27.68,836,518,0.0,11.46,normal,0.18
25,17.25,28.24,1050,341,1.0,10.99,normal,16.0
27,17.57,29.18,708,759,0.0,11.61,normal,8.0
30,23.84,32.21,275,1042,0.0,8.37,normal,8.0
32,24.23,32.56,939,1049,1.0,8.33,normal,0.0
31,24.14,32.6,168,1079,0.0,8.46,normal,0.0
29,21.71,33.23,112,732,0.0,11.52,normal,8.0
28,19.6,34.38,1044,516,1.0,14.78,normal,0.0
34,25.74,34.68,730,338,1.0,8.94,normal,0.37
35,26.02,35.54,1080,341,1.0,9.52,normal,0.0
39,29.18,38.89,953,832,0.0,9.71,normal,0.0
38,28.24,39.33,637,961,1.0,11.09,normal,0.0
33,24.66,39.35,699,901,0.0,14.69,normal,8.18
40,32.21,40.67,953,1007,0.0,8.46,normal,8.0
37,27.68,40.7,201,340,0.0,13.02,normal,0.0
36,26.87,40.74,836,1045,0.0,13.87,normal,0.18
44,34.38,41.98,341,1058,1.0,7.6,normal,0.37
42,32.6,43.72,797,49,0.0,11.12,normal,8.0
43,33.23,44.43,357,496,0.0,11.2,normal,0.0
45,34.68,45.58,526,943,1.0,10.9,normal,23.64
49,39.35,47.46,167,1052,1.0,8.11,normal,0.0
41,32.56,47.96,605,275,0.0,15.4,normal,15.27
46,35.54,49.91,1082,275,0.0,14.37,normal,7.27
51,40.7,51.38,1054,168,1.0,10.68,normal,0.36
47,38.89,52.87,517,248,0.0,13.98,normal,8.0
50,40.67,53.26,338,977,1.0,12.59,normal,0.18
54,43.72,53.27,1049,1065,0.0,9.55,normal,8.0
55,44.43,53.94,759,708,1.0,9.51,normal,23.11
56,45.58,55.02,40,526,0.0,9.44,normal,15.28
48,39.33,55.18,940,832,1.0,15.85,normal,8.0
57,47.46,57.62,901,1079,1.0,10.16,normal,8.19
63,53.27,59.32,115,977,0.0,6.05,abnormal,8.0
60,51.38,59.45,168,357,1.0,8.07,normal,0.01
58,47.96,61.15,1082,998,1.0,13.19,normal,0.0
66,55.18,61.83,858,721,1.0,6.65,normal,0.0
64,53.94,61.91,1054,223,1.0,7.97,normal,8.36
59,49.91,62.39,201,939,1.0,12.48,normal,16.0
61,52.87,64.61,1080,516,0.0,11.74,normal,24.0
62,53.26,64.61,1023,1044,0.0,11.35,abnormal,8.01
65,55.02,66.32,1052,699,0.0,11.3,normal,16.0
68,59.32,68.72,1085,352,1.0,9.4,normal,0.19
72,61.91,69.75,836,340,0.0,7.84,normal,23.99
73,62.39,70.85,998,40,0.0,8.46,normal,0.53
74,64.61,71.3,357,960,0.0,6.69,normal,16.0
69,59.45,71.74,981,201,0.0,12.29,normal,8.0
71,61.83,72.88,858,637,0.0,11.05,normal,8.0
70,61.15,73.35,346,1058,1.0,12.2,normal,8.19
75,64.61,75.85,1045,510,0.0,11.24,normal,8.0
67,57.62,77.26,262,943,0.0,19.64,abnormal,15.27
78,69.75,81.05,1026,496,0.0,11.3,normal,15.82
80,71.3,81.11,977,1065,1.0,9.81,normal,7.63
