match_id,time_start,time_end,bot_a,bot_b,outcome_a,duration_minutes,category,elo_diff
10,0.0,8.89,836,526,0.0,8.89,normal,0.0
9,0.0,9.34,836,1080,0.0,9.34,normal,0.0
1,0.0,9.58,836,1008,0.0,9.58,normal,0.0
8,0.0,10.04,836,721,0.0,10.04,normal,0.0
2,0.0,10.12,836,1089,0.0,10.12,normal,0.0
3,0.0,11.44,836,1058,0.0,11.44,normal,0.0
5,0.0,11.96,836,827,0.0,11.96,normal,0.0
7,0.0,12.16,836,943,0.0,12.16,normal,0.0
0,0.0,12.35,836,1054,0.0,12.35,normal,0.0
6,0.0,12.52,836,1085,0.0,12.52,normal,0.0
4,0.0,16.27,836,1082,1.0,16.27,normal,0.0
12,8.89,16.43,836,1007,1.0,7.54,normal,8.0
14,9.58,20.15,836,1049,1.0,10.57,normal,23.45
16,10.12,20.38,836,961,0.0,10.26,normal,38.2
18,11.96,21.22,836,970,1.0,9.26,normal,52.29
21,12.52,21.51,836,49,0.0,8.99,normal,72.25
15,10.04,22.74,836,201,1.0,12.7,normal,30.91
19,12.16,22.76,836,167,1.0,10.6,normal,59.09
20,12.35,23.44,836,960,0.0,11.09,normal,65.75
13,9.34,23.62,836,510,0.0,14.28,normal,15.82
17,11.44,23.74,836,1065,0.0,12.3,normal,45.33
22,16.27,24.65,836,1030,0.0,8.38,normal,62.61
25,20.38,27.12,836,517,0.0,6.74,normal,50.96
23,16.43,28.36,836,797,1.0,11.93,normal,53.18
30,23.44,30.01,1054,1082,1.0,6.57,normal,16.29
29,22.76,30.27,1054,1058,0.0,7.51,normal,0.47
26,21.22,30.91,836,1079,0.0,9.69,normal,41.8
28,22.74,32.42,1054,1089,1.0,9.68,normal,0.64
32,23.74,32.59,1054,1085,1.0,8.85,normal,0.15
27,21.51,33.87,1054,1008,0.0,12.36,normal,0.98
33,24.65,33.88,1054,943,0.0,9.23,normal,0.15
24,20.15,34.5,836,1078,1.0,14.35,normal,43.97
31,23.62,34.83,1054,827,1.0,11.21,normal,0.31
