match_id,time_start,time_end,bot_a,bot_b,outcome_a,duration_minutes,category,elo_diff
9,0.0,7.87,718,836,1.0,7.87,normal,0.0
10,0.0,8.87,960,1023,0.0,8.87,normal,0.0
1,0.0,9.58,496,1007,1.0,9.58,normal,0.0
3,0.0,10.08,518,970,1.0,10.08,normal,0.0
6,0.0,10.86,721,940,0.0,10.86,normal,0.0
7,0.0,10.9,516,966,0.0,10.9,normal,0.0
0,0.0,11.0,248,1058,1.0,11.0,normal,0.0
8,0.0,11.23,961,1023,1.0,11.23,normal,0.0
5,0.0,11.58,510,526,1.0,11.58,normal,0.0
4,0.0,11.59,637,836,1.0,11.59,normal,0.0
2,0.0,13.66,729,1085,0.0,13.66,normal,0.0
14,9.58,16.21,943,1065,1.0,6.63,normal,0.0
19,11.23,17.19,496,1089,1.0,5.96,normal,8.0
20,11.58,18.69,340,970,0.0,7.11,normal,8.0
18,11.0,19.0,836,960,0.0,8.0,normal,0.0
13,8.87,19.69,718,1045,1.0,10.82,normal,8.0
16,10.86,20.41,836,876,1.0,9.55,normal,8.0
15,10.08,20.61,352,1085,0.0,10.53,normal,0.0
22,13.66,22.19,201,1007,1.0,8.53,normal,8.0
12,7.87,22.94,49,1082,1.0,15.07,normal,0.0
17,10.9,23.65,720,943,1.0,12.75,normal,0.0
21,11.59,25.15,446,721,1.0,13.56,normal,8.0
25,18.69,26.28,930,970,0.0,7.59,normal,0.18
26,19.0,27.97,167,1089,1.0,8.97,normal,7.82
28,20.41,28.86,115,943,1.0,8.45,normal,8.0
24,17.19,29.32,981,1008,0.0,12.13,normal,0.0
23,16.21,29.46,940,1008,0.0,13.25,normal,8.0
30,22.19,31.93,1058,1065,1.0,9.74,normal,0.0
32,23.65,32.6,346,1054,1.0,8.95,normal,0.0
31,22.94,33.85,49,1049,1.0,10.91,normal,8.0
33,25.15,33.89,510,516,1.0,8.74,normal,16.0
29,20.61,33.92,352,1054,0.0,13.31,normal,7.82
38,29.46,36.48,1007,1089,1.0,7.02,normal,0.18
34,26.28,37.83,1057,1082,0.0,11.55,normal,8.0
27,19.69,37.96,779,977,0.0,18.27,normal,0.0
42,33.89,38.18,49,510,0.0,4.29,abnormal,0.18
35,27.97,40.03,275,338,0.0,12.06,normal,0.0
36,28.86,40.26,168,720,1.0,11.4,normal,8.18
40,32.6,41.58,40,346,1.0,8.98,normal,8.0
43,33.92,44.8,352,759,0.0,10.88,normal,15.82
41,33.85,44.9,943,1008,0.0,11.05,normal,24.18
45,37.83,45.28,1007,1080,0.0,7.45,normal,7.81
46,37.96,45.43,1054,1058,1.0,7.47,normal,0.0
47,38.18,46.56,876,1089,0.0,8.38,normal,15.1
39,31.93,46.87,1008,1078,1.0,14.94,normal,16.0
49,40.26,49.37,357,720,1.0,9.11,normal,0.0
44,36.48,50.16,1008,1058,0.0,13.68,normal,16.0
48,40.03,51.72,708,1080,1.0,11.69,normal,0.0
51,44.8,52.27,721,961,0.0,7.47,normal,24.0
50,41.58,52.62,510,832,1.0,11.04,normal,23.64
55,46.56,54.24,1057,1089,0.0,7.68,normal,7.11
