match_id,time_start,time_end,bot_a,bot_b,outcome_a,duration_minutes,category,elo_diff
9,0.0,7.97,943,901,0.0,7.97,normal,0.0
7,0.0,8.53,1045,1044,1.0,8.53,normal,0.0
5,0.0,8.87,338,115,0.0,8.87,normal,0.0
6,0.0,9.6,340,346,0.0,9.6,normal,0.0
1,0.0,9.88,496,516,1.0,9.88,normal,0.0
0,0.0,10.26,809,779,0.0,10.26,normal,0.0
4,0.0,10.81,248,352,1.0,10.81,normal,0.0
2,0.0,11.2,1007,998,1.0,11.2,normal,0.0
8,0.0,11.23,262,275,1.0,11.23,normal,0.0
3,0.0,12.39,1054,1057,1.0,12.39,normal,0.0
10,0.0,14.12,930,939,0.0,14.12,normal,0.0
15,9.6,18.67,167,112,1.0,9.07,normal,0.0
18,10.81,19.67,168,117,1.0,8.86,normal,0.0
17,10.26,20.13,961,977,1.0,9.87,normal,0.0
13,8.53,20.6,1030,1042,1.0,12.07,normal,0.0
20,11.23,20.99,729,832,0.0,9.76,normal,0.0
14,8.87,22.01,797,759,1.0,13.14,normal,0.0
21,12.39,22.44,940,966,0.0,10.05,normal,0.0
19,11.2,22.49,201,223,0.0,11.29,normal,0.0
12,7.97,23.42,1078,1079,0.0,15.45,normal,0.0
16,9.88,25.23,718,699,1.0,15.35,normal,0.0
24,19.67,25.78,876,858,0.0,6.11,normal,0.0
26,20.6,28.43,517,446,0.0,7.83,normal,0.0
30,22.49,30.05,970,981,0.5,7.56,normal,0.0
25,20.13,30.15,40,341,0.0,10.02,normal,0.0
31,23.42,31.7,1089,1082,0.0,8.28,normal,0.0
23,18.67,31.8,721,720,0.0,13.13,normal,0.0
27,20.99,31.84,510,518,1.0,10.85,normal,0.0
28,22.01,32.7,827,730,0.0,10.69,normal,0.0
32,25.23,35.07,1085,1065,0.0,9.84,normal,0.0
33,25.78,35.87,1060,1038,1.0,10.09,normal,0.0
34,28.43,36.5,836,960,1.0,8.07,normal,0.0
22,14.12,37.89,1080,1052,0.0,23.77,abnormal,0.0
36,30.15,41.07,1058,1049,1.0,10.92,normal,0.0
38,31.8,41.24,49,357,0.0,9.44,normal,0.0
39,31.84,42.27,953,732,0.0,10.43,normal,0.0
37,31.7,42.59,971,1050,1.0,10.89,normal,0.0
35,30.05,43.55,708,637,1.0,13.5,normal,0.0
40,32.7,44.07,1081,1026,1.0,11.37,normal,0.0
41,35.07,44.7,961,901,1.0,9.63,normal,0.0
43,36.5,45.24,341,346,0.0,8.74,normal,0.0
44,37.89,45.48,1038,998,0.0,7.59,normal,0.0
42,35.87,45.66,338,275,1.0,9.79,normal,0.0
46,41.24,49.47,1089,1057,1.0,8.23,normal,0.0
51,44.7,52.47,827,876,1.0,7.77,normal,0.0
47,42.27,53.1,516,352,1.0,10.83,normal,0.0
49,43.55,53.62,1078,1050,0.0,10.07,normal,0.0
50,44.07,53.78,1060,966,1.0,9.71,normal,0.0
48,42.59,55.73,517,759,1.0,13.14,normal,0.0
45,41.07,56.01,510,730,0.0,14.94,normal,0.0
53,45.48,58.59,496,446,0.0,13.11,normal,0.0
54,45.66,59.09,518,637,1.0,13.43,normal,0.0
55,49.47,59.82,943,940,1.0,10.35,normal,0.0
11,0.0,60.0,526,605,0.5,60.0,timelimit,0.0
56,52.47,60.85,971,779,1.0,8.38,normal,0.0
59,53.78,62.02,1085,1080,1.0,8.24,normal,0.0
58,53.62,64.5,201,49,0.0,10.88,normal,0.0
60,55.73,65.03,112,809,1.0,9.3,normal,0.0
57,53.1,65.35,1054,1065,1.0,12.25,normal,0.0
62,58.59,68.55,1030,1052,1.0,9.96,normal,0.0
64,59.82,68.83,168,357,0.0,9.01,normal,0.0
68,64.5,70.65,708,248,0.0,6.15,normal,0.0
65,60.0,70.71,1007,939,1.0,10.71,normal,0.0
63,59.09,71.32,721,960,0.0,12.23,normal,0.0
67,62.02,71.35,262,718,0.0,9.33,normal,0.0
61,56.01,75.17,797,832,1.0,19.16,normal,0.0
73,70.65,76.52,1042,930,1.0,5.87,normal,0.0
70,65.35,77.76,970,605,1.0,12.41,abnormal,0.0
66,60.85,77.92,167,115,1.0,17.07,normal,0.0
75,71.32,78.86,1045,858,1.0,7.54,normal,0.0
76,71.35,78.92,40,117,1.0,7.57,normal,0.0
69,65.03,79.56,729,1026,0.0,14.53,normal,0.0
74,70.71,79.86,1058,1082,1.0,9.15,normal,0.0
72,68.83,80.98,1049,977,0.0,12.15,normal,0.0
77,75.17,81.28,836,732,1.0,6.11,normal,0.0
29,22.44,82.44,1008,1023,0.5,60.0,timelimit,0.0
71,68.55,84.92,340,699,0.0,16.37,normal,0.0
78,76.52,84.93,720,223,0.0,8.41,normal,0.0
81,78.86,85.14,1030,1045,0.0,6.28,normal,0.0
84,79.86,85.96,971,357,0.0,6.1,normal,0.0
80,77.92,87.33,526,981,1.0,9.41,normal,0.0
79,77.76,88.47,953,1044,1.0,10.71,normal,0.0
82,78.92,89.26,201,117,1.0,10.34,normal,0.0
86,81.28,90.41,1085,605,1.0,9.13,normal,8.0
83,79.56,91.57,759,876,1.0,12.01,normal,0.0
85,80.98,93.14,517,496,0.0,12.16,normal,0.0
89,84.93,93.37,858,699,0.0,8.44,normal,0.0
88,84.92,95.35,1008,1026,1.0,10.43,normal,0.0
93,88.47,97.12,730,446,0.0,8.65,normal,0.0
90,85.14,98.65,832,939,0.0,13.51,normal,0.0
94,89.26,98.66,248,346,1.0,9.4,normal,0.0
91,85.96,99.1,961,797,1.0,13.14,normal,0.0
96,91.57,99.76,112,341,1.0,8.19,normal,0.0
92,87.33,100.22,809,729,1.0,12.89,normal,0.0
97,93.14,100.86,970,1060,0.0,7.72,normal,8.0
87,82.44,102.16,1042,1023,1.0,19.72,abnormal,0.0
98,93.37,105.21,1080,1057,1.0,11.84,normal,0.0
52,45.24,105.24,1079,1081,0.5,60.0,timelimit,0.0
102,98.66,105.85,1054,1007,1.0,7.19,normal,0.0
99,95.35,106.25,1050,966,0.0,10.9,normal,0.0
105,100.22,107.09,510,338,0.0,6.87,normal,0.0
101,98.65,107.22,720,518,0.0,8.57,normal,0.0
103,99.1,107.45,836,1058,1.0,8.35,normal,0.0
104,99.76,107.48,1049,940,0.0,7.72,normal,0.0
95,90.41,108.52,167,223,0.0,18.11,normal,0.0
106,100.86,109.05,340,981,1.0,8.19,normal,8.0
100,97.12,111.3,721,637,0.0,14.18,normal,0.0
107,102.16,111.49,1089,1082,0.0,9.33,normal,0.0
108,105.21,114.15,275,1044,0.0,8.94,normal,0.0
112,107.09,116.4,1079,40,0.0,9.31,normal,8.0
110,105.85,116.5,708,732,1.0,10.65,normal,0.0
109,105.24,117.39,901,779,1.0,12.15,normal,0.0
117,109.05,117.43,998,977,0.0,8.38,normal,0.0
116,108.52,118.48,943,960,1.0,9.96,normal,0.0
111,106.25,119.84,262,115,0.0,13.59,normal,0.0
119,111.49,120.61,49,1081,1.0,9.12,normal,8.0
118,111.3,121.94,1023,930,1.0,10.64,abnormal,8.0
120,114.15,123.51,526,718,0.0,9.36,normal,8.0
115,107.48,124.63,1038,352,1.0,17.15,abnormal,0.0
123,117.39,126.02,1008,966,0.0,8.63,normal,0.0
121,116.4,126.57,827,1065,1.0,10.17,normal,0.0
124,117.43,127.93,510,341,1.0,10.5,normal,0.0
122,116.5,128.98,1078,876,0.0,12.48,normal,8.0
126,119.84,129.21,1007,971,0.0,9.37,normal,0.0
129,123.51,130.48,960,1044,1.0,6.97,normal,0.0
125,118.48,132.84,167,496,0.0,14.36,normal,0.0
130,124.63,133.3,49,112,1.0,8.67,normal,0.18
127,120.61,133.38,998,832,1.0,12.77,normal,0.0
