bot_lo,bot_hi,bot_lo_name,bot_hi_name,elo_lo,elo_hi,N_normal,N_timelimit,N_abnormal,alpha_normal,alpha_timelimit,alpha_abnormal,W,L,D,n_dur,x_bar,E_A,alpha_win,alpha_draw,alpha_loss,mu_duration,sigma_duration
40,49,SharpenedEdge,MicroMachine,1872,1950,33,0,2,37.652125,0.12592,2.22196,5,28,0,33,2.098431,0.389598,6.92506,0.05885,31.01609,2.131441,0.079799
40,51,SharpenedEdge,Krillin,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,112,SharpenedEdge,Tyckles,1872,1427,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.928351,4.58712,0.05885,0.35403,2.349308,0.219992
40,115,SharpenedEdge,BenBotBC,1872,2043,48,0,0,52.652125,0.12592,0.22196,26,22,0,48,2.803896,0.272028,27.344134,0.05885,25.597016,2.76101,0.06757
40,117,SharpenedEdge,Chance,1872,1384,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,0.392042,0.943168,5.660337,0.05885,0.280813,2.023097,0.200824
40,167,SharpenedEdge,TyrT,1872,1873,47,0,0,51.652125,0.12592,0.22196,39,8,0,47,1.952315,0.498561,41.463464,0.05885,10.477686,1.990488,0.068216
40,168,SharpenedEdge,sharkbot,1872,1845,47,0,0,51.652125,0.12592,0.22196,36,11,0,47,2.310296,0.538778,38.662183,0.05885,13.278967,2.314048,0.068216
40,201,SharpenedEdge,QueenBot,1872,1614,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.337952,0.815352,5.028776,0.05885,0.912374,2.347415,0.200824
40,223,SharpenedEdge,DominionDog,1872,1890,48,0,0,52.652125,0.12592,0.22196,23,25,0,48,2.433564,0.474119,25.342693,0.05885,27.598457,2.425615,0.06757
40,248,SharpenedEdge,Eris,1872,2221,47,0,0,51.652125,0.12592,0.22196,2,45,0,47,2.504541,0.118261,2.584344,0.05885,49.356806,2.489615,0.068216
40,262,SharpenedEdge,whalemean,1872,1797,47,0,0,51.652125,0.12592,0.22196,37,10,0,47,2.193756,0.606288,39.995759,0.05885,11.945391,2.208713,0.068216
40,275,SharpenedEdge,Lissy,1872,1569,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.851221,4.20601,0.05885,0.73514,2.349308,0.219992
40,338,SharpenedEdge,smallBly,1872,1834,41,0,0,45.652125,0.12592,0.22196,22,19,0,41,1.975322,0.554469,24.739716,0.05885,21.201434,2.015973,0.072529
40,340,SharpenedEdge,MechaShark,1872,1695,41,0,0,45.652125,0.12592,0.22196,29,12,0,41,2.196142,0.734757,32.630545,0.05885,13.310605,2.21279,0.072529
40,341,SharpenedEdge,gotest,1872,1328,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.958174,4.734482,0.05885,0.206668,2.349308,0.219992
40,346,SharpenedEdge,Sharkling,1872,1761,45,0,0,49.652125,0.12592,0.22196,35,10,0,45,2.079444,0.65452,38.234081,0.05885,11.707069,2.10643,0.069567
40,347,SharpenedEdge,PhantomTest,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,352,SharpenedEdge,Belzebuth,1872,1134,0,0,1,4.652125,0.12592,1.22196,0,0,0,0,,0.985912,4.871541,0.05885,0.069609,2.349308,0.219992
40,357,SharpenedEdge,12PoolBot,1872,1765,27,0,0,31.652125,0.12592,0.22196,9,18,0,27,1.750537,0.649295,12.208264,0.05885,19.732886,1.844095,0.086959
40,374,SharpenedEdge,SwarmLord,1872,1600,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.827178,4.087211,0.05885,0.853939,2.349308,0.219992
40,446,SharpenedEdge,Xena,1872,1937,47,0,0,51.652125,0.12592,0.22196,24,23,0,47,2.142125,0.407534,26.013685,0.05885,25.927465,2.162047,0.068216
40,496,SharpenedEdge,Zozo,1872,2089,46,0,0,50.652125,0.12592,0.22196,38,8,0,46,2.499424,0.222847,39.10112,0.05885,11.84003,2.484706,0.068882
40,510,SharpenedEdge,PhantomBot,1872,1817,41,0,0,45.652125,0.12592,0.22196,27,14,0,41,2.458732,0.578497,29.858439,0.05885,16.082711,2.446838,0.072529
40,516,SharpenedEdge,27turtles,1872,1526,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.879927,4.34785,0.05885,0.5933,2.349308,0.219992
40,517,SharpenedEdge,VeTerran-revived,1872,1869,44,0,0,48.652125,0.12592,0.22196,37,7,0,44,2.403576,0.504317,39.491907,0.05885,9.449243,2.398038,0.070274
40,518,SharpenedEdge,norman,1872,1674,6,0,0,10.652125,0.12592,0.22196,6,0,0,6,1.958748,0.757639,9.743609,0.05885,1.197541,2.136275,0.148318
40,526,SharpenedEdge,Apidae,1872,1635,8,0,0,12.652125,0.12592,0.22196,2,6,0,8,2.306399,0.796455,5.935402,0.05885,7.005748,2.322902,0.136433
40,605,SharpenedEdge,nida,1872,1693,5,0,0,9.652125,0.12592,0.22196,5,0,0,5,2.264977,0.736995,8.641602,0.05885,1.299548,2.307142,0.155557
40,637,SharpenedEdge,72Tortoises,1872,1697,5,0,0,9.652125,0.12592,0.22196,5,0,0,5,2.253922,0.732507,8.619428,0.05885,1.321722,2.301615,0.155557
40,699,SharpenedEdge,Clicadinha,1872,1635,1,0,0,5.652125,0.12592,0.22196,1,0,0,1,2.140066,0.796455,4.935402,0.05885,1.005748,2.314434,0.200824
40,708,SharpenedEdge,Princess-Mika,1872,1521,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.882935,4.362712,0.05885,0.578438,2.349308,0.219992
40,709,SharpenedEdge,Laser-Circus,1872,1211,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.978226,4.833561,0.05885,0.107589,2.349308,0.219992
40,718,SharpenedEdge,Mulebot,1872,1689,12,0,0,16.652125,0.12592,0.22196,8,4,0,12,2.292001,0.741434,11.663534,0.05885,5.277616,2.308856,0.119307
40,720,SharpenedEdge,PiG_Bot,1872,1627,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.803819,3.971788,0.05885,0.969362,2.349308,0.219992
40,721,SharpenedEdge,49Terrapins,1872,1430,0,0,0,4.652125,0.12592,0.22196,0,0,0,0,,0.927193,4.581402,0.05885,0.359748,2.349308,0.219992
