round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,836,1054,0.0,12.35,normal,1,0.0
1,836,1008,0.0,9.58,normal,1,8.0
1,836,1089,0.0,10.12,normal,1,15.82
1,836,1058,0.0,11.44,normal,1,23.45
1,836,1082,1.0,16.27,normal,1,30.91
1,836,827,0.0,11.96,normal,1,22.2
1,836,1085,0.0,12.52,normal,1,29.69
1,836,943,0.0,12.16,normal,1,37.01
1,836,721,0.0,10.04,normal,1,44.16
1,836,1080,0.0,9.34,normal,1,51.15
1,836,526,0.0,8.89,normal,1,57.98
1,836,720,0.5,60.0,timelimit,1,64.66
1,836,1007,1.0,7.54,normal,1,63.19
1,836,510,0.0,14.28,normal,1,53.75
1,836,1049,1.0,10.57,normal,1,60.52
1,836,201,1.0,12.7,normal,1,51.14
1,836,961,0.0,10.26,normal,1,41.97
1,836,1065,0.0,12.3,normal,1,49.01
1,836,970,1.0,9.26,normal,1,55.89
1,836,167,1.0,10.6,normal,1,46.61
1,836,960,0.0,11.09,normal,1,37.54
1,836,49,0.0,8.99,normal,1,44.68
1,836,1030,0.0,8.38,normal,1,51.66
1,836,797,1.0,11.93,normal,1,58.48
1,836,1078,1.0,14.35,normal,1,49.15
1,836,517,0.0,6.74,normal,1,40.02
1,836,1079,0.0,9.69,normal,1,47.1
1,1054,1008,0.0,12.36,normal,1,0.18
1,1054,1089,1.0,9.68,normal,1,7.64
1,1054,1058,0.0,7.51,normal,1,0.71
1,1054,1082,1.0,6.57,normal,1,8.87
1,1054,827,1.0,11.21,normal,1,0.46
1,1054,1085,1.0,8.85,normal,1,8.62
1,1054,943,0.0,9.23,normal,1,16.59
1,1054,721,0.0,10.95,normal,1,8.37
1,1054,1080,0.0,22.12,abnormal,1,0.34
1,1054,526,0.0,7.02,normal,1,7.52
1,1054,720,1.0,7.41,normal,1,7.2
1,1054,1007,0.0,5.47,normal,1,8.94
1,1054,510,1.0,8.94,normal,1,15.48
1,1054,1049,0.0,3.8,abnormal,1,9.03
1,1054,201,1.0,15.44,normal,1,0.61
1,1054,961,0.0,8.82,normal,1,7.61
1,1054,1065,1.0,11.1,normal,1,15.28
1,1054,970,1.0,6.88,abnormal,1,9.23
1,1054,167,0.0,9.77,normal,1,16.81
1,1054,960,0.0,9.08,normal,1,7.78
1,1054,49,0.0,11.13,normal,1,15.44
1,1054,1030,0.0,6.89,normal,1,22.93
1,1054,797,1.0,14.04,normal,1,14.25
1,1054,1078,1.0,11.05,normal,1,6.13
1,1054,517,1.0,9.22,normal,1,14.2
1,1054,1079,0.0,10.37,normal,1,5.71
1,1008,1089,1.0,10.3,normal,1,16.36
1,1008,1058,1.0,13.04,normal,1,7.97
1,1008,1082,1.0,9.23,normal,1,47.77
1,1008,827,1.0,6.96,normal,1,38.67
1,1008,1085,0.0,9.73,normal,1,45.76
1,1008,943,0.0,11.14,normal,1,20.7
1,1008,721,1.0,10.37,normal,1,12.58
1,1008,1080,0.0,8.24,normal,1,20.63
1,1008,526,0.0,7.47,normal,1,12.49
1,1008,720,0.0,3.66,abnormal,1,28.34
1,1008,1007,0.0,8.66,normal,1,11.29
1,1008,510,0.5,8.13,normal,1,3.38
1,1008,1049,1.0,7.08,normal,1,2.89
1,1008,201,0.0,12.84,normal,1,26.81
1,1008,961,1.0,12.04,normal,1,13.83
1,1008,1065,1.0,9.85,normal,1,10.83
1,1008,970,0.0,7.28,normal,1,34.17
1,1008,167,0.0,10.47,normal,1,9.0
1,1008,960,0.0,10.72,normal,1,14.85
1,1008,49,0.5,60.0,timelimit,1,22.17
1,1008,1030,0.0,10.34,normal,1,21.33
1,1008,797,0.0,11.52,normal,1,3.12
1,1008,1078,1.0,11.95,normal,1,5.35
1,1008,517,0.0,9.68,normal,1,13.25
1,1008,1079,1.0,9.01,normal,1,36.98
1,1089,1058,0.0,9.22,normal,1,15.82
1,1089,1082,0.0,7.25,normal,1,7.61
1,1089,827,0.0,14.37,normal,1,16.36
1,1089,1085,1.0,11.83,normal,1,40.16
1,1089,943,0.0,15.59,normal,1,46.69
1,1089,721,1.0,13.49,normal,1,37.08
1,1089,1080,1.0,9.69,normal,1,44.07
1,1089,526,0.0,13.62,normal,1,34.54
1,1089,720,0.0,9.12,normal,1,17.97
1,1089,1007,1.0,8.76,abnormal,1,33.57
1,1089,510,0.0,10.88,normal,1,16.27
1,1089,1049,1.0,3.96,abnormal,1,16.29
1,1089,201,1.0,8.79,normal,1,8.48
1,1089,961,0.0,12.34,normal,1,15.37
1,1089,1065,1.0,7.8,normal,1,7.25
1,1089,970,0.5,60.0,timelimit,1,0.03
1,1089,167,1.0,14.04,normal,1,15.83
1,1089,960,0.0,7.19,normal,1,22.56
1,1089,49,0.0,7.68,normal,1,21.54
1,1089,1030,1.0,14.16,normal,1,36.73
1,1089,797,1.0,12.35,normal,1,3.5
1,1089,1078,1.0,15.69,normal,1,27.22
1,1089,517,0.0,8.93,normal,1,2.76
1,1089,1079,1.0,9.43,normal,1,4.8
1,1058,1082,1.0,6.98,normal,1,30.53
1,1058,827,1.0,12.69,normal,1,22.58
1,1058,1085,0.0,9.57,normal,1,30.43
1,1058,943,1.0,12.35,normal,1,9.56
1,1058,721,1.0,12.0,normal,1,30.98
1,1058,1080,1.0,7.67,normal,1,22.58
1,1058,526,1.0,8.16,normal,1,14.37
1,1058,720,1.0,9.81,normal,1,45.44
1,1058,1007,1.0,7.85,normal,1,60.74
1,1058,510,1.0,8.26,normal,1,59.49
1,1058,1049,1.0,11.61,normal,1,89.73
1,1058,201,0.0,18.62,normal,1,94.97
1,1058,961,1.0,7.08,normal,1,53.91
1,1058,1065,0.0,8.94,normal,1,92.26
1,1058,970,1.0,9.91,normal,1,73.07
1,1058,167,0.0,11.3,normal,1,71.97
1,1058,960,0.0,6.46,normal,1,31.4
1,1058,49,0.0,8.94,normal,1,31.16
1,1058,1030,0.0,11.89,normal,1,31.1
1,1058,797,0.0,11.36,normal,1,52.86
1,1058,1078,1.0,9.79,normal,1,58.9
1,1058,517,1.0,6.88,normal,1,18.28
1,1058,1079,1.0,9.98,normal,1,42.55
1,1082,827,0.0,11.66,normal,1,15.07
1,1082,1085,1.0,7.94,normal,1,38.53
1,1082,943,1.0,10.21,normal,1,44.03
1,1082,721,0.0,10.87,normal,1,3.63
1,1082,1080,1.0,7.7,normal,1,27.04
1,1082,526,0.0,12.38,normal,1,33.92
1,1082,720,1.0,9.57,normal,1,18.45
1,1082,1007,1.0,9.83,normal,1,2.03
1,1082,510,0.0,11.04,normal,1,1.82
1,1082,1049,1.0,7.47,normal,1,13.16
1,1082,201,1.0,10.61,normal,1,4.0
1,1082,961,0.0,14.87,normal,1,2.12
